csfgID,ra,dec,z,plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,oii_3726_flux,oii_3729_flux,neiii_3869_flux,oiii_4959_flux,h_beta_eqw,oiii_5007_eqw,oiii_4363_eqw,hei_5876_eqw,lgm_tot_p50,specsfr_tot_p50,petroR90_r,petroR50_r,petroRad_r,magPetro_u,magPetro_g,magPetro_r,magPetro_i,magPetro_z,magFiber_u,magFiber_g,magFiber_r,magFiber_i,magFiber_z,magPSF_u,magPSF_g,magPSF_r,magPSF_i,magPSF_z,P_EL,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,kcorr_g,kcorr_r,kcorr_i,mu_r,DA_Mpc,R50_kpc,R90_kpc,Rad_kpc,DL_Mpc,absPetro_g,absPetro_r,absPetro_i,L_frac_r,r_arcmin_200kpc,f_mangle_500kpc,f_mangle_200kpc,logMstars,logMstars_err,logSFR,logSFR_err,A_FUV,A_FUV_err,A_B,A_B_err,A_V,A_V_err,flag_sed,UV_survey,flag_uv,flag_midir,flag_mgs,spectofiber,psffwhm_r,ageL_mean,metL_mean,ageM_mean,metM_mean,ageL_gmean,metL_gmean,ageM_gmean,metM_gmean,chisqrt,Mini,Mcor,Lfrac_r,v0_stars,vd_stars,v0_gas,vd_gas,av,TL_Gyr,DM_mag,Mcor_corr,Av_Balmer,Av_Balmer_sdss,logOH,logOH_sdss,log_R23,log_R23_sdss,log_O32,log_O32_sdss,O3Hb,O3Hb_sdss,N2Ha,N2Ha_sdss,HbO3_eqw,HbO3_eqw_sdss,class,control_r1,control_r3,control_yuri_r3,yuri,plateifu,mangaid,objra,objdec,Separation
1090,173.361914420825,47.2867197691283,0.04555392,1442,53050,501,1416.603,1175.762,867.5513,4199.146,1476.714,1433.879,103.5855,469.7669,-22.12296,-27.52309,-0.1742403,-3.368645,9.923931,-9.467528,3.89458,1.554896,3.197472,17.27534,16.41717,16.14353,15.85917,15.75343,17.95543,17.27874,17.09289,16.80876,16.71984,17.74857,17.1411,17.03292,16.79402,16.69599,0.515,0.242,0.212,0.0,0.273,0.515,0.273,0,0,1,0.026018978757559,0.0318637053525839,-0.0379029607801818,18.8721583509566,184.590247510802,1.39150653717801,3.48533505106626,2.86147960406589,201.790920475817,-20.1333570856862,-20.4128418122812,-20.6274351461484,0.417115184478762,3.72473282542597,0.987,1.0,10.035,0.037,0.901,0.086,2.425,0.237,0.681,0.167,0.468,0.132,0,1,3,2,1,0.7408515,1.343699,3.266475,-0.3829612,13.28813,-0.4674296,0.07273637,-0.4745338,10.12406,-0.4904963,0.6512,10.38995,10.23029,0.4767551,21.8,112.0,0.473,74.1,0.4681,0.6159933,36.52539,10.100021164533,0.844422509103793,0.756027453440316,8.40219347425588,8.40738692856526,0.518579803227774,0.498262428108457,-0.175283426872411,-0.122220861697405,0.0641599307354694,0.0709361733188035,-0.699174491856852,-0.685850800673494,54.4112940793663,49.64605,none,0,0,0,0,8945-3702,1-279617,173.3619,47.286728,0.046023192797775246
3138,192.804979299209,55.5633567153249,0.03718622,1038,52673,577,286.6193,170.5843,101.208,661.4145,194.0426,196.3625,21.80671,98.0821,-9.926613,-16.00346,0.311374,-1.504251,9.332425,-9.663487,4.88941,1.68257,3.675642,18.83308,17.55053,17.08696,16.81457,16.67975,19.76829,18.5382,18.13572,17.9108,17.71614,19.57755,18.48588,18.16941,17.92639,17.79815,0.719,0.219,0.062,0.0,0.219,0.675,0.262,0,0,1,0.0443007714138758,0.03210821148659,-0.0048827140379325,20.0215997843601,152.209592041377,1.24162462028763,3.60805900181304,2.71237904073131,163.740268493507,-18.5645482623617,-19.0159257024344,-19.2513247769099,0.380623851909832,4.51712237669019,0.99,1.0,,,,,,,,,,,,,,,,0.7508351,1.205284,2.646447,-0.405359,9.729547,-0.5263402,0.4259927,-0.4827985,5.081758,-0.5902615,0.5735,9.71575,9.568458,0.4246843,1.3,64.9,-1.49,67.0,0.5983,0.5058536,36.07146,9.4440025667996,0.903777494372259,1.04020036656988,8.30513064770684,8.30788279805899,0.593617456198242,0.571778788150729,-0.00877601279874006,0.0260796824033866,0.218793423040095,0.211617839934859,-0.811556731750275,-0.816614094374913,30.8947404210501,25.930073,none,0,0,0,0,11863-1901,1-195171,192.80495,55.56337,0.07645226624109518
5574,250.23850371911,32.2889317997128,0.03639625,1341,52786,216,568.7612,612.1174,554.7003,2238.307,577.8298,667.3723,24.23885,184.8511,-18.09461,-17.22612,0.1330975,-2.637544,9.464726,-9.437259,3.814686,1.522119,3.042471,17.81923,16.88966,16.5359,16.30628,16.11793,18.65656,17.84261,17.55371,17.34806,17.18876,18.83545,18.18568,18.10752,17.9059,17.67148,0.543,0.114,0.314,0.0,0.143,0.543,0.143,0,0,1,0.029327856270948,0.0303563021457999,-0.0222259624431999,19.2579780752648,149.105659157384,1.10031716133758,2.75757971020281,2.1993569846851,160.156951182007,-19.1623968202391,-19.5171852661139,-19.6942230015249,0.391630042717243,4.61115532463638,0.961,0.979,9.632,0.061,0.207,0.074,1.429,0.275,0.712,0.13,0.576,0.118,0,2,0,2,1,0.7178219,0.9014081,2.816579,-0.2623959,10.65452,-0.3115937,0.3231131,-0.3487353,6.17853,-0.3570227,0.5631,10.04334,9.89321,0.4359669,0.6,60.7,-1.88,69.5,0.3441,0.4953861,36.02358,9.74922670407254,0.661651085120363,0.837580729735627,8.45472278250333,8.45377711478091,0.373759073455175,0.384380208859009,-0.113620068088333,-0.122279783660036,-0.0493282382938176,-0.0429752327438769,-0.600756317806997,-0.606952494571695,44.8326758233623,35.32073,none,0,0,0,0,11948-1901,1-249766,250.23851,32.28892,0.04658148970628684
9635,60.8593117792017,-5.49185564684806,0.03835748,465,51910,328,229.634,218.0542,185.1371,841.4905,279.492,245.2117,30.40725,74.50352,-10.60489,-10.63194,-0.1827665,-1.564866,9.322514,-9.557812,4.072881,1.670636,3.572733,18.5148,17.3787,16.98283,16.73647,16.58727,19.45225,18.32805,18.01375,17.76481,17.587,19.29511,18.22219,17.9654,17.73279,17.60713,0.593,0.074,0.259,0.0,0.148,0.584,0.157,0,0,1,0.035062031841173,0.0314277545821447,-0.0170916671497423,19.8977921368261,156.802988933006,1.27002223642666,3.09621571444626,2.7160017830427,169.06282760993,-18.7966026736576,-19.1888383963986,-19.3866789746667,0.386929640634307,4.38479750185593,0.997927461139896,0.989,9.521,0.048,-0.148,0.054,1.12,0.152,0.609,0.092,0.509,0.08,0,2,3,2,1,0.710431,1.347963,1.406387,-0.3828528,5.171994,-0.4960314,0.3330826,-0.4402142,2.46294,-0.5239965,0.6335,9.668955,9.531377,0.4331843,-5.4,53.4,0.386,71.5,0.4929,0.5213476,36.14065,9.38289890383361,0.849031654836757,1.02388001348935,8.37013863731907,8.37315872930839,0.521075096512195,0.490993893216872,-0.284426924411982,-0.226413081115277,0.00586603131244738,0.00893891064798744,-0.660035476354891,-0.658889723274051,26.2042407964077,21.23683,none,0,0,0,0,8158-1901,1-52677,60.859333,-5.4918423,0.08995217959991277
11049,165.103762075287,43.0199669509649,0.03745431,1362,53050,617,8187.404,1779.042,320.4866,6177.563,2024.447,1744.076,568.5906,2711.98,-51.21825,-247.3867,-2.128773,-8.432632,9.021011,-8.550238,4.784107,1.987844,4.043307,17.12521,16.32142,16.28874,16.16638,16.16221,18.26046,17.45899,17.56684,17.47507,17.40208,17.89156,17.321,17.61016,17.30142,17.507,0.297,0.135,0.378,0.189,0.135,0.297,0.135,0,0,1,0.01566438691095,0.0401425744235571,-0.0799783149294109,19.576268800242,153.261891123433,1.477037874928,3.55475944626849,3.00431904060957,164.957527550233,-19.7811050799502,-19.8382632674628,-19.8405023781099,0.308148458832185,4.4861077278712,0.931,0.977,9.155,0.054,0.315,0.072,1.008,0.148,0.268,0.114,0.191,0.094,0,1,3,2,1,0.7029678,1.31379,2.512781,-0.4478178,12.91539,-0.4121027,0.06083888,-0.5147332,8.866503,-0.418573,1.094,10.07794,9.920078,0.3440859,-16.1,186.0,9.73,56.8,0.3813,0.509402,36.08748,9.76701343227076,1.11503299344289,0.658812187974353,8.12187079772589,8.12627165130836,0.853150991842235,0.87298362849183,0.332346136757578,0.516062423191256,0.594222880713501,0.654252369045388,-1.37387272866943,-1.28586564110142,262.975892217138,298.60495,none,0,0,0,0,8256-9102,1-255959,165.10414,43.01969,1.4083668814628472
14232,213.495323010202,43.8929916887574,0.04034506,1394,53108,430,363.9589,201.0442,134.8099,716.3514,231.8981,292.3385,21.65288,117.4273,-9.748145,-17.0444,-0.2473365,-1.347523,9.482908,-9.632807,6.137049,2.177187,5.016817,18.42394,17.11318,16.6899,16.45388,16.29354,19.44541,18.33024,17.96545,17.72148,17.60487,19.15453,18.12825,17.82629,17.74202,17.61301,0.65,0.233,0.083,0.0,0.267,0.526,0.384,0,0,1,0.037174805147218,0.0324931944832349,-0.0169779535559324,20.1705610458206,164.56104176269,1.73699237893695,4.89622955775624,4.0024916993907,178.107351905004,-19.1774040382264,-19.5960024275624,-19.7825512795232,0.30887303819468,4.17808095277185,0.989,1.0,9.578,0.035,-0.147,0.035,2.105,0.191,0.27,0.03,0.161,0.021,0,2,2,1,1,0.7602075,1.430692,1.817985,-0.224133,5.955878,-0.4520364,0.4482225,-0.3552992,2.760797,-0.5694078,0.5206,9.862414,9.72568,0.3477861,-0.9,81.9,-0.542,68.5,0.5115,0.5475923,36.25353,9.60661214991921,0.599819646937632,0.748010241760936,8.36613645999382,8.36929196122508,0.586813808465058,0.581888730868478,0.0675765438364124,0.0926872141599278,0.243227821014203,0.24787419640317,-0.724491955427605,-0.726378872919674,30.4711289402437,26.792545,none,0,0,0,0,8329-3702,1-266045,213.49544,43.89295,0.33858447480568016
14914,54.5540327335987,-5.54042227789474,0.02214921,462,51909,363,4493.634,1329.454,333.894,4337.008,0.0,0.0,252.8375,1483.565,-31.71517,-110.3618,-0.6146863,-5.545137,8.756961,-8.958369,5.072174,1.881964,4.155191,17.24912,16.37344,16.18198,16.10304,15.99359,18.16836,17.42681,17.329,17.29972,17.22162,18.07562,17.41065,17.3054,17.31425,17.26007,0.538,0.231,0.2,0.0,0.262,0.537,0.263,0,0,1,0.01499064598064,0.0243423879995888,-0.0336196683316747,19.4310008676063,92.3029816355808,0.84217470712183,2.26978659151873,1.85943873711732,96.4371405726638,-18.5627722698165,-18.7635840118355,-18.7845619555042,0.347689839875285,7.44883146756282,0.922379032258065,0.979919678714859,8.926,0.069,-0.202,0.033,1.381,0.148,0.187,0.048,0.113,0.034,0,1,3,2,1,0.7259776,1.384783,2.773599,-0.5060933,12.27674,-0.6849623,0.1280509,-0.5568167,7.601321,-0.6935232,0.5972,9.612611,9.4586,0.3713085,-9.6,56.3,-1.93,55.7,0.4123,0.3045628,34.92215,9.31952322077382,0.673083478449971,0.442941737834115,8.18826555088715,8.17467644040561,0.599011136248621,0.653403702008027,Infinity,Infinity,0.468677367753615,0.52306993351302,-1.14976120781974,-1.1141586951326,141.680273370347,142.07697,none,0,0,0,1,8727-3702,1-51766,54.554047,-5.5404043,0.08247361164542048
17229,240.896720051675,31.8322737375171,0.1544434,1405,52826,416,644.4315,211.5956,52.38488,768.4258,237.3992,293.2625,47.52287,223.7796,-16.00393,-48.10246,-0.2161321,-2.450288,9.80837,-8.999793,2.773704,1.013132,2.13193,18.967,18.2832,17.98314,17.74846,17.75957,19.47706,18.82593,18.54396,18.35977,18.32817,19.372,18.82598,18.6696,18.56967,18.51512,,,,,,,,,,,-0.0804789307480451,-0.0735320041472315,-0.246450398561055,19.4567253872963,552.428042370625,2.71341924850072,7.42866854787277,5.7098383018759,736.242708221881,-20.971426101982,-21.2784330285828,-21.340194634169,0.596584547162577,1.24459531635382,1.0,1.0,,,,,,,,,,,,,,,,0.7431599,0.9714727,2.132569,-0.6014592,12.75636,-0.4205584,0.06235557,-0.6256097,8.429295,-0.4280226,0.5672,10.55229,10.3953,0.9178885,-11.3,136.0,-4.36,68.3,0.6541,1.936656,39.33538,10.2663822676183,0.562223675270947,0.813778655841212,8.14121528425448,8.13236198970617,0.72506500082179,0.734630415143796,0.329804882487491,0.321567375024253,0.465484182008973,0.472914255150168,-1.13342691712468,-1.1674562164175,71.753581580097,64.10639,isolated,0,0,0,0,9032-1901,1-560758,240.8944,31.83209,7.126750877922036
17406,38.1976200980614,0.678089436118514,0.02283115,407,51820,542,5639.006,1402.151,237.3731,4075.111,1934.177,1704.03,457.0049,1885.24,-17.60315,-74.64548,-0.2412779,-2.892565,8.742843,-8.604799,5.423266,1.935307,4.41467,16.25003,15.60971,15.58749,15.57863,15.56066,17.28604,16.74977,16.80946,16.8086,16.75973,17.32134,16.8347,17.03825,17.05868,16.87459,0.206,0.088,0.441,0.059,0.294,0.206,0.294,0,0,1,0.0217321057555031,0.0307572500198813,-0.0550171916589492,18.8878922995964,95.0579220894157,0.891894193574372,2.49933444957793,2.03451883321198,99.4480354717699,-19.4000031475225,-19.4312482917869,-19.354333850108,0.32449798174725,7.23295164720988,0.989561586638831,0.990936555891239,8.893,0.02,0.153,0.004,0.515,0.041,0.09,0.006,0.057,0.006,0,2,3,2,1,0.7124475,0.9504279,1.535101,-0.3669299,12.43729,-0.4100841,0.03664592,-0.4417678,7.151367,-0.4192674,1.054,9.736379,9.581981,0.3472353,-22.8,95.0,-1.82,60.8,0.0,0.3137868,34.98911,9.43473386685548,0.228211554523378,0.0434921165616606,8.13990545765864,8.1442580094024,0.830303920908886,0.833710614103774,0.362430029933945,0.458713586103087,0.578889549100412,0.603832926750885,-1.25945069341141,-1.23476460495434,94.6972461257393,92.24863,none,0,0,0,0,10226-1902,1-36585,38.19762,0.67810166,0.04400738911661698
